id,value,avg_rating
coconut,3,89.0652
class,3,90.4733
celebrated,3,91.0902
cases,3,89.3293
caramel,3,88.5798
capture,3,89.5421
balsamic,3,90.5078
backbone,3,90.3455
anise,3,89.8239
achieve,3,90.2034
accents,3,88.8944
ability,3,90.9593
98,3,93.2286
85,3,88.457
zest,2,89.0268
you've,2,89.6786
yielding,2,89.3741
yes,2,89.8056
wound,2,90.0841
winery,2,89.8724
williams,2,91.1585
weight,2,88.8941
wall,2,89.4939
verdot,2,89.6093
veeder,2,91.1731
valley,2,89.7208
utterly,2,92.0423
ungrafted,2,92.9375
unfold,2,89.6228
unctuous,2,90.0967
umami,2,91.0862
ultrafine,2,93.75
truffle,2,90.7167
triumph,2,92.4167
three,2,89.8836
tempting,2,90.9483
tease,2,90.7006
swathes,2,90.1289
sustained,2,89.4762
superiore,2,89.1374
sumptuous,2,91.5654
sugar,2,87.7222
straight,2,88.9091
stony,2,89.9984
stone,2,88.8775
steel,2,88.7124
star,2,90.1911
standard,2,86.8768
sourced,2,90.1305
soil,2,89.9907
small,2,89.4984
simply,2,89.0886
showcases,2,90.3413
sheer,2,89.6205
selyem,2,92.1935
score,2,88.1855
sangiovese,2,88.4057
salty,2,88.1159
salt,2,89.9188
right,2,89.2772
rewarding,2,91.0342
resemble,2,88.2235
remarkably,2,91.0263
ready,2,88.0253
radiant,2,92.8444
quality,2,88.6639
prune,2,88.0509
pressed,2,89.1635
precious,2,92.0
possible,2,89.429
portugal,2,88.9716
port,2,88.013
place,2,89.2952
pine,2,89.9141
petit,2,89.1545
petal,2,90.1579
persistent,2,89.3291
past,2,88.3039
particularly,2,88.2605
part,2,89.3124
pair,2,87.6705
outstanding,2,91.8707
orange,2,88.5523
noval,2,95.5
nervy,2,89.4343
needs,2,89.5816
nebbiolo,2,90.1929
near,2,89.4294
mt,2,90.5833
mouthwatering,2,89.2837
mossy,2,88.9926
montrachet,2,91.5429
mix,2,89.0383
minutes,2,90.461
mesnil,2,93.3333
menthol,2,89.5207
meaty,2,89.0862
match,2,88.2926
master,2,91.07
masseto,2,97.25
make,2,88.6903
main,2,88.5705
luxurious,2,91.0921
lingering,2,89.7512
lineup,2,90.7879
limited,2,88.1935
light,2,87.7336
lend,2,89.0426
lees,2,89.2606
lead,2,88.5137
le,2,90.1009
italy,2,87.9666
iris,2,90.8276
instantly,2,89.5816
inspired,2,89.6495
influence,2,88.827
improve,2,89.7453
immediately,2,88.9095
hours,2,89.7715
highlights,2,89.988
here's,2,87.925
herbal,2,87.4381
heart,2,90.2244
heady,2,90.307
head,2,89.4368
harmonious,2,90.2434
guaranteed,2,91.14
grown,2,89.6014
ground,2,89.7434
gold,2,88.992
generous,2,89.8909
fully,2,89.5499
fudge,2,90.7603
fruity,2,87.7757
food,2,87.9792
flower,2,88.8555
find,2,88.9132
fig,2,89.1843
fascinating,2,91.2868
exuberant,2,89.8231
expect,2,88.2746
evident,2,88.8182
espresso,2,89.1893
equal,2,89.5427
epitome,2,90.6901
ensemble,2,89.8085
energy,2,90.3377
embryonic,2,96.0
elevation,2,89.6527
edge,2,88.4924
earth,2,89.405
douro,2,89.8536
distinctive,2,89.044
demands,2,90.2293
delicate,2,88.859
deft,2,90.7782
date,2,89.7981
darker,2,89.7354
cured,2,89.1068
creamy,2,88.6129
course,2,89.3034
county,2,88.7302
contains,2,89.0282
considerable,2,89.9905
collection,2,90.1216
coast,2,89.3299
cheerful,2,86.9378
charred,2,88.5191
carefully,2,90.2319
cardinale,2,96.4
built,2,90.1543
brooding,2,90.8791
blueberry,2,89.417
blue,2,89.6524
block,2,90.8994
blanc,2,87.9436
biodynamic,2,90.524
benefit,2,89.2445
beguiling,2,91.8361
b̢tard,2,96.3333
based,2,88.7305
barolo,2,91.5333
barely,2,87.1259
backed,2,88.7994
attention,2,90.2864
art,2,90.8969
area,2,89.2109
applied,2,90.25
alongside,2,88.9045
allow,2,89.7409
ageability,2,90.2229
accompanied,2,88.3701
4,2,90.3047
