id,value,avg_rating
flavors,53,88.1545
wine,35,88.7489
aromas,32,88.2018
finish,29,88.266
tastes,22,87.2042
sweet,22,87.8304
fruit,22,88.7062
palate,21,88.6516
nose,17,88.5645
cherry,13,88.8059
bitter,13,86.7792
red,12,88.3905
vegetal,11,84.6829
soft,11,87.7324
green,11,87.5243
dry,11,88.4827
candied,11,87.2641
blend,11,88.6957
feels,10,87.3911
sour,9,86.7875
smells,9,86.4801
flat,9,85.0414
barely,9,87.1259
mouth,8,88.221
harsh,8,84.1667
berry,8,88.4085
apple,8,88.1883
tart,7,88.1253
pickled,7,84.4781
lacks,7,85.7146
white,6,88.5419
sugary,6,84.6375
sugar,6,87.7222
sauvignon,6,88.7727
peach,6,88.2795
melon,6,87.5282
flabby,6,85.3566
dull,6,83.5269
color,6,88.2915
watery,5,83.4202
vanilla,5,88.5284
tannins,5,89.1515
suggest,5,88.5273
strange,5,83.6608
shows,5,89.0934
ripe,5,89.1858
quality,5,88.6639
offers,5,88.6373
oak,5,88.6769
notes,5,88.5767
high,5,88.5066
herbal,5,87.4381
grapes,5,88.6309
citrus,5,88.0856
burnt,5,86.3146
blanc,5,87.9436
acidity,5,88.5175
acceptable,5,83.0988
way,4,88.6407
thin,4,84.7865
that's,4,88.6569
tannic,4,88.5047
table,4,88.4636
syrah,4,88.8363
strawberry,4,88.4541
slightly,4,87.4457
sharp,4,86.8243
rustic,4,86.331
raw,4,86.9993
pinot,4,88.6619
noir,4,88.8706
murky,4,84.3355
mouthfeel,4,88.2282
medicinal,4,86.0753
make,4,88.6903
made,4,88.7242
juice,4,88.1143
hot,4,86.7315
grassy,4,86.4866
gaseous,4,85.4375
earthy,4,88.5212
drinkable,4,88.7858
dilute,4,84.3857
chardonnay,4,88.2284
cab,4,88.4533
blackberry,4,89.1685
based,4,88.7305
astringent,4,87.5033
;,4,88.7707
winery,3,89.8724
weird,3,82.6552
weedy,3,83.8775
weak,3,84.6098
vintage,3,89.8583
unripe,3,84.7976
turns,3,87.6061
tinged,3,88.6931
time,3,89.9672
texture,3,89.1786
spice,3,89.201
soupy,3,85.4069
sketchy,3,83.1905
right,3,89.2772
residual,3,88.0587
raspberry,3,88.7359
raisiny,3,86.3224
prune,3,88.0509
price,3,87.7317
plum,3,88.7276
peanut,3,86.9811
old,3,89.7747
nutty,3,88.1664
mushy,3,84.0893
mourv̬dre,3,89.3339
lead,3,88.5137
jam,3,88.1368
hint,3,88.5812
herbaceous,3,87.2954
heavy,3,86.9445
hard,3,87.7493
good,3,88.0159
going,3,87.9078
funky,3,86.7869
fruity,3,87.7757
force,3,88.3755
followed,3,88.3342
flower,3,88.8555
fermented,3,89.2015
feline,3,84.72
fade,3,87.0827
excessive,3,87.3592
clumsy,3,84.8033
cabernet,3,89.1686
briny,3,86.463
bit,3,87.3558
best,3,90.0326
banana,3,86.6589
baked,3,89.1841
awkward,3,84.7337
asparagus,3,85.7065
apricot,3,88.6636
alcohol,3,87.9941
age,3,90.0262
zin,2,87.5963
wayward,2,85.0984
undertones,2,88.6915
unbalanced,2,84.2029
two,2,89.1559
tomato,2,87.3657
structure,2,90.0058
stone,2,88.8775
speak,2,90.0945
soapy,2,85.3831
sirah,2,88.3882
simple,2,85.215
semisweet,2,86.3782
rubber,2,86.6078
rose,2,88.8429
rh̫ne,2,88.561
result,2,88.7096
raisin,2,87.5943
punch,2,88.9059
profile,2,87.8243
prime,2,88.2685
powerful,2,90.9731
poor,2,86.1739
pool,2,86.2222
pineapple,2,87.9547
petit,2,89.1545
past,2,88.3039
papaya,2,87.5349
oxidized,2,86.4174
overt,2,87.0867
overripe,2,86.0369
overdone,2,88.9212
orange,2,88.5523
opens,2,88.8357
north,2,89.0438
nectarine,2,88.3453
natural,2,88.7733
modest,2,86.5149
mix,2,89.0383
mild,2,86.7566
merlot,2,88.6817
melted,2,88.1273
mealy,2,83.6304
mango,2,88.2609
malbec,2,88.9481
lychee,2,87.3262
liquid,2,89.1441
licorice,2,89.8585
lemon,2,88.6453
leaves,2,88.0505
isn't,2,86.9648
improve,2,89.7453
imported,2,88.9614
hits,2,88.9
herb,2,89.0758
help,2,88.1803
heavily,2,87.2759
grenache,2,88.9035
grapy,2,87.3448
grapefruit,2,88.5307
funk,2,89.6544
fresh,2,88.5773
franc,2,89.2407
floral,2,88.7802
fleshy,2,88.7319
fast,2,86.9235
falls,2,87.0187
fails,2,84.4045
face,2,89.875
edge,2,88.4924
dusty,2,88.7282
drink,2,89.0271
downright,2,88.5185
don't,2,88.7411
dirty,2,84.3043
cut,2,88.637
corn,2,86.4771
convincing,2,89.0
citrusy,2,87.4199
cinsault,2,88.6498
chocolate,2,89.4596
chemical,2,83.8462
charm,2,88.9794
characteristics,2,88.7607
character,2,88.3919
canned,2,85.1696
call,2,88.7347
brandied,2,88.8841
bouquet,2,88.3482
borderline,2,86.3978
bodied,2,88.7316
